weekday,dep_time,n,total_dep_delay,avg_dep_delay,var,std,sme
1,13,11566,98772,8.539858205083867,4.875038431223425e-4,0.022079489195231453,2.053040080012947e-4
1,14,11288,117843,10.43967044649185,0.001618545332577416,0.04023114878520642,3.7866392611188494e-4
1,15,12366,108408,8.76661814653081,5.472095597153106e-4,0.023392510761252427,2.1035954213083596e-4
1,16,11680,116303,9.957448630136986,0.0012311900559485705,0.035088317941283115,3.2466922787637785e-4
1,17,13088,114924,8.780867970660147,5.227026880908545e-4,0.022862692056948467,1.9984382045532204e-4
1,18,11234,129178,11.498842798646965,0.0025321835732888594,0.05032080656437116,4.7476684619067764e-4
1,19,11277,121515,10.775472200053205,0.0018846835703282814,0.043412942428822786,4.088108673860347e-4
1,20,9674,122601,12.673247880917925,0.004378047219178927,0.06616681357885483,6.727243986331438e-4
1,21,6965,105951,15.21191672648959,0.01175033111257477,0.10839894424105231,0.001298866428994788
1,22,5300,87864,16.57811320754717,0.020457816599434426,0.14303082394866648,0.0019646794639634484
1,23,1893,51221,27.0581088219757,0.230591102491309,0.48019902383419005,0.011036870984381834
6,4,362,-1403,-3.8756906077348066,0.27851307829650734,0.5277433829964212,0.027737576398551657
6,5,6089,-24277,-3.9870257842010184,0.016927239853854935,0.13010472648545454,0.0016673243279260814
6,6,12145,-25595,-2.1074516261836145,0.005635127115507726,0.07506748374301436,6.811662144688767e-4
6,7,11001,-6816,-0.6195800381783474,0.004184597820964036,0.06468846744949239,6.167523031287374e-4
6,8,11744,7513,0.6397309264305178,0.0025997996199780774,0.05098823021029537,4.705024797437308e-4
6,9,10107,29919,2.960225586227367,0.0010163826289606639,0.03188075640508964,3.1711551027144806e-4
6,10,10446,46781,4.478364924372966,2.7242873824798376e-4,0.016505415421854238,1.6149216199195162e-4
6,11,10928,52077,4.76546486090776,1.7931663147185124e-4,0.013390916005705182,1.2809729022997187e-4
6,12,10512,67450,6.4164764079147645,6.001097357276218e-6,0.002449713729658267,2.3893108768442935e-5
