"","date","carrier","flight_num","origin","dest","dest_state","sched_dep","dep","sched_arr","arr","cancelled","canc_code","distance","weekday","dep_delay","arr_delay"
"735",2017-10-08,"DL",1873,12953,13495,72,2017-10-08 13:45:00,2017-10-08 14:49:00,2017-10-08 16:10:00,2017-10-08 17:22:00,0,NA,1183,"Sunday",64,72
"736",2017-11-13,"WN",549,10800,13796,91,2017-11-13 10:00:00,2017-11-13 10:00:00,2017-11-13 11:15:00,2017-11-13 11:08:00,0,NA,325,"Monday",0,-7
"737",2017-10-31,"AA",2314,14524,11298,74,2017-10-31 06:02:00,2017-10-31 05:48:00,2017-10-31 08:12:00,2017-10-31 08:24:00,0,NA,1158,"Tuesday",-14,12
"738",2017-12-01,"WN",32,14679,13796,91,2017-12-01 18:50:00,2017-12-01 19:18:00,2017-12-01 20:20:00,2017-12-01 20:38:00,0,NA,446,"Friday",28,18
"739",2017-11-28,"VX",1480,12892,12889,85,2017-11-28 17:05:00,2017-11-28 16:56:00,2017-11-28 18:11:00,2017-11-28 17:54:00,0,NA,236,"Tuesday",-9,-17
"740",2017-12-18,"AA",1682,11057,14321,12,2017-12-18 11:25:00,2017-12-18 11:20:00,2017-12-18 13:35:00,2017-12-18 13:30:00,0,NA,813,"Monday",-5,-5
"741",2017-12-27,"AA",430,14771,11057,36,2017-12-27 00:20:00,2017-12-27 00:15:00,2017-12-27 08:09:00,2017-12-27 07:28:00,0,NA,2296,"Wednesday",-5,-41
"742",2017-11-22,"WN",57,12191,13232,41,2017-11-22 12:40:00,2017-11-22 12:39:00,2017-11-22 15:00:00,2017-11-22 15:17:00,0,NA,937,"Wednesday",-1,17
"743",2017-11-18,"AA",578,14869,14107,81,2017-11-18 07:00:00,2017-11-18 06:53:00,2017-11-18 08:53:00,2017-11-18 08:20:00,0,NA,507,"Saturday",-7,-33
"744",2017-12-26,"DL",1093,14869,14057,92,2017-12-26 08:30:00,2017-12-26 09:05:00,2017-12-26 09:55:00,2017-12-26 10:28:00,0,NA,630,"Tuesday",35,33
"745",2017-12-21,"WN",712,12191,14193,33,2017-12-21 18:40:00,2017-12-21 19:29:00,2017-12-21 20:00:00,2017-12-21 20:44:00,0,NA,488,"Thursday",49,44
"746",2017-11-07,"WN",398,14122,13204,33,2017-11-07 14:50:00,2017-11-07 14:50:00,2017-11-07 17:05:00,2017-11-07 16:55:00,0,NA,834,"Tuesday",0,-10
"747",2017-10-05,"UA",1003,13930,11697,33,2017-10-05 07:47:00,2017-10-05 07:43:00,2017-10-05 11:53:00,2017-10-05 11:40:00,0,NA,1182,"Thursday",-4,-13
"748",2017-12-11,"WN",1506,14107,14730,52,2017-12-11 10:30:00,2017-12-11 10:28:00,2017-12-11 15:50:00,2017-12-11 15:45:00,0,NA,1506,"Monday",-2,-5
"749",2017-12-25,"OO",4735,11433,11042,44,2017-12-25 08:30:00,2017-12-25 08:31:00,2017-12-25 09:40:00,2017-12-25 10:06:00,0,NA,95,"Monday",1,26
"750",2017-11-04,"WN",2108,11193,10821,35,2017-11-04 17:30:00,2017-11-04 17:29:00,2017-11-04 18:55:00,2017-11-04 18:50:00,0,NA,430,"Saturday",-1,-5
"751",2017-10-23,"WN",149,10423,10397,34,2017-10-23 12:10:00,2017-10-23 12:09:00,2017-10-23 15:20:00,2017-10-23 15:08:00,0,NA,813,"Monday",-1,-12
"752",2017-10-08,"OO",3533,11823,11433,43,2017-10-08 15:57:00,2017-10-08 20:58:00,2017-10-08 16:59:00,2017-10-08 21:52:00,0,NA,128,"Sunday",301,293
"753",2017-11-05,"OO",3020,11638,12892,91,2017-11-05 06:00:00,2017-11-05 05:49:00,2017-11-05 07:12:00,2017-11-05 06:57:00,0,NA,209,"Sunday",-11,-15
"754",2017-10-17,"EV",5420,12953,13931,38,2017-10-17 17:45:00,2017-10-17 18:08:00,2017-10-17 19:18:00,2017-10-17 19:43:00,0,NA,296,"Tuesday",23,25
"755",2017-10-12,"NK",504,12892,13495,72,2017-10-12 11:17:00,2017-10-12 11:17:00,2017-10-12 17:08:00,2017-10-12 17:04:00,0,NA,1670,"Thursday",0,-4
"756",2017-10-24,"OO",5200,10257,13930,41,2017-10-24 09:40:00,2017-10-24 09:37:00,2017-10-24 11:10:00,2017-10-24 10:53:00,0,NA,723,"Tuesday",-3,-17
"757",2017-11-20,"WN",6128,14869,14107,81,2017-11-20 20:25:00,2017-11-20 20:30:00,2017-11-20 22:05:00,2017-11-20 21:56:00,0,NA,507,"Monday",5,-9
"758",2017-10-14,"AA",1506,14492,11298,74,2017-10-14 15:50:00,2017-10-14 17:08:00,2017-10-14 17:51:00,2017-10-14 19:15:00,0,NA,1061,"Saturday",78,84
"759",2017-12-28,"WN",6685,11697,14307,15,2017-12-28 05:35:00,2017-12-28 05:30:00,2017-12-28 08:30:00,2017-12-28 08:11:00,0,NA,1188,"Thursday",-5,-19
"760",2017-12-26,"OO",5687,14771,12441,88,2017-12-26 14:44:00,2017-12-26 14:49:00,2017-12-26 17:59:00,2017-12-26 17:54:00,0,NA,737,"Tuesday",5,-5
"761",2017-12-31,"OO",5772,11292,10561,91,2017-12-31 11:15:00,2017-12-31 11:13:00,2017-12-31 12:59:00,2017-12-31 13:02:00,0,NA,845,"Sunday",-2,3
"762",2017-12-04,"UA",218,12173,13930,41,2017-12-04 16:50:00,2017-12-04 16:39:00,2017-12-04 04:56:00,2017-12-04 04:19:00,0,NA,4243,"Monday",-11,-37
"763",2017-10-13,"OO",4768,13367,11433,43,2017-10-13 06:20:00,2017-10-13 06:12:00,2017-10-13 08:58:00,2017-10-13 08:45:00,0,NA,373,"Friday",-8,-13
"764",2017-10-01,"F9",545,11278,11292,82,2017-10-01 13:15:00,2017-10-01 13:06:00,2017-10-01 15:07:00,2017-10-01 14:55:00,0,NA,1476,"Sunday",-9,-12
"765",2017-12-02,"B6",651,15304,14843,3,2017-12-02 07:00:00,2017-12-02 06:56:00,2017-12-02 10:50:00,2017-12-02 10:39:00,0,NA,1237,"Saturday",-4,-11
"766",2017-12-02,"AA",503,11057,14771,91,2017-12-02 20:19:00,2017-12-02 20:12:00,2017-12-02 23:12:00,2017-12-02 23:09:00,0,NA,2296,"Saturday",-7,-3
"767",2017-12-24,"F9",1560,10397,13204,33,2017-12-24 20:20:00,2017-12-24 20:14:00,2017-12-24 21:58:00,2017-12-24 21:46:00,0,NA,404,"Sunday",-6,-12
"768",2017-11-07,"NK",379,10158,13577,37,2017-11-07 07:25:00,2017-11-07 07:16:00,2017-11-07 08:53:00,2017-11-07 08:34:00,0,NA,466,"Tuesday",-9,-19
"769",2017-11-08,"OO",4817,11433,13230,23,2017-11-08 09:55:00,2017-11-08 09:54:00,2017-11-08 11:15:00,2017-11-08 11:25:00,0,NA,371,"Wednesday",-1,10
"770",2017-11-18,"DL",1671,11278,13487,63,2017-11-18 14:45:00,2017-11-18 14:38:00,2017-11-18 16:31:00,2017-11-18 16:00:00,0,NA,931,"Saturday",-7,-31
"771",2017-11-07,"AS",579,14679,14747,93,2017-11-07 21:16:00,2017-11-07 21:04:00,2017-11-07 00:16:00,2017-11-07 23:50:00,0,NA,1050,"Tuesday",-12,1414
"772",2017-10-09,"UA",1792,12266,14747,93,2017-10-09 14:34:00,2017-10-09 14:22:00,2017-10-09 17:19:00,2017-10-09 17:09:00,0,NA,1874,"Monday",-12,-10
"773",2017-11-04,"AS",11,11618,14747,93,2017-11-04 16:05:00,2017-11-04 17:13:00,2017-11-04 19:20:00,2017-11-04 20:12:00,0,NA,2402,"Saturday",68,52
"774",2017-10-18,"DL",1438,12892,13487,63,2017-10-18 15:45:00,2017-10-18 15:39:00,2017-10-18 21:18:00,2017-10-18 21:14:00,0,NA,1535,"Wednesday",-6,-4
"775",2017-12-06,"DL",1571,13204,13487,63,2017-12-06 07:05:00,2017-12-06 06:58:00,2017-12-06 09:48:00,2017-12-06 09:26:00,0,NA,1310,"Wednesday",-7,-22
